cnty,name,price,state
montgomery-county-ga,Montgomery County,116339,GA
morgan-county-ga,Morgan County,267442,GA
murray-county-ga,Murray County,145193,GA
muscogee-county-ga,Muscogee County,127948,GA
newton-county-ga,Newton County,189740,GA
oconee-county-ga,Oconee County,349646,GA
oglethorpe-county-ga,Oglethorpe County,171616,GA
paulding-county-ga,Paulding County,236032,GA
peach-county-ga,Peach County,143754,GA
pickens-county-ga,Pickens County,227948,GA
pierce-county-ga,Pierce County,145021,GA
pike-county-ga,Pike County,209993,GA
polk-county-ga,Polk County,115158,GA
pulaski-county-ga,Pulaski County,104537,GA
putnam-county-ga,Putnam County,245986,GA
quitman-county-ga,Quitman County,76342,GA
rabun-county-ga,Rabun County,244144,GA
randolph-county-ga,Randolph County,60341,GA
richmond-county-ga,Richmond County,132831,GA
rockdale-county-ga,Rockdale County,215983,GA
schley-county-ga,Schley County,123575,GA
screven-county-ga,Screven County,99291,GA
seminole-county-ga,Seminole County,97236,GA
spalding-county-ga,Spalding County,158341,GA
stephens-county-ga,Stephens County,117270,GA
stewart-county-ga,Stewart County,47766,GA
sumter-county-ga,Sumter County,86730,GA
talbot-county-ga,Talbot County,114689,GA
taliaferro-county-ga,Taliaferro County,77765,GA
tattnall-county-ga,Tattnall County,116650,GA
taylor-county-ga,Taylor County,87846,GA
telfair-county-ga,Telfair County,64986,GA
terrell-county-ga,Terrell County,71418,GA
thomas-county-ga,Thomas County,148755,GA
tift-county-ga,Tift County,142779,GA
toombs-county-ga,Toombs County,114819,GA
towns-county-ga,Towns County,237765,GA
treutlen-county-ga,Treutlen County,69618,GA
troup-county-ga,Troup County,130520,GA
turner-county-ga,Turner County,80936,GA
twiggs-county-ga,Twiggs County,77420,GA
union-county-ga,Union County,234772,GA
upson-county-ga,Upson County,89532,GA
walker-county-ga,Walker County,148900,GA
walton-county-ga,Walton County,246438,GA
ware-county-ga,Ware County,84367,GA
warren-county-ga,Warren County,65456,GA
washington-county-ga,Washington County,96070,GA
wayne-county-ga,Wayne County,125680,GA
webster-county-ga,Webster County,89858,GA
wheeler-county-ga,Wheeler County,86738,GA
white-county-ga,White County,200108,GA
whitfield-county-ga,Whitfield County,155508,GA
wilcox-county-ga,Wilcox County,78045,GA
wilkes-county-ga,Wilkes County,100978,GA
wilkinson-county-ga,Wilkinson County,78422,GA
worth-county-ga,Worth County,118238,GA
hawaii-county-hi,Hawaii County,412291,HI
honolulu-county-hi,Honolulu County,753653,HI
kalawao-county-hi,Kalawao County,739798,HI
kauai-county-hi,Kauai County,642804,HI
maui-county-hi,Maui County,739798,HI
adair-county-ia,Adair County,114557,IA
adams-county-ia,Adams County,100707,IA
allamakee-county-ia,Allamakee County,147683,IA
appanoose-county-ia,Appanoose County,76434,IA
audubon-county-ia,Audubon County,74488,IA
benton-county-ia,Benton County,159157,IA
black-hawk-county-ia,Black Hawk County,143089,IA
boone-county-ia,Boone County,147699,IA
bremer-county-ia,Bremer County,173222,IA
buchanan-county-ia,Buchanan County,146844,IA
buena-vista-county-ia,Buena Vista County,128013,IA
butler-county-ia,Butler County,132190,IA
calhoun-county-ia,Calhoun County,89616,IA
carroll-county-ia,Carroll County,143643,IA
cass-county-ia,Cass County,98234,IA
cedar-county-ia,Cedar County,172871,IA
cerro-gordo-county-ia,Cerro Gordo County,126990,IA
cherokee-county-ia,Cherokee County,110095,IA
chickasaw-county-ia,Chickasaw County,131109,IA
clarke-county-ia,Clarke County,114246,IA
clay-county-ia,Clay County,137889,IA
clayton-county-ia,Clayton County,130186,IA
clinton-county-ia,Clinton County,132337,IA
crawford-county-ia,Crawford County,111974,IA
dallas-county-ia,Dallas County,218745,IA
davis-county-ia,Davis County,142954,IA
decatur-county-ia,Decatur County,79790,IA
delaware-county-ia,Delaware County,159100,IA
des-moines-county-ia,Des Moines County,110809,IA
dickinson-county-ia,Dickinson County,244218,IA
dubuque-county-ia,Dubuque County,196931,IA
emmet-county-ia,Emmet County,85298,IA
fayette-county-ia,Fayette County,102939,IA
floyd-county-ia,Floyd County,109375,IA
franklin-county-ia,Franklin County,89677,IA
fremont-county-ia,Fremont County,109083,IA
greene-county-ia,Greene County,96012,IA
grundy-county-ia,Grundy County,152500,IA
guthrie-county-ia,Guthrie County,137122,IA
hamilton-county-ia,Hamilton County,109595,IA
hancock-county-ia,Hancock County,109837,IA
hardin-county-ia,Hardin County,95077,IA
harrison-county-ia,Harrison County,127927,IA
henry-county-ia,Henry County,126037,IA
howard-county-ia,Howard County,116611,IA
humboldt-county-ia,Humboldt County,110964,IA
ida-county-ia,Ida County,78266,IA
iowa-county-ia,Iowa County,164480,IA
jackson-county-ia,Jackson County,144382,IA
jasper-county-ia,Jasper County,134764,IA
jefferson-county-ia,Jefferson County,129752,IA
johnson-county-ia,Johnson County,238473,IA
jones-county-ia,Jones County,150723,IA
keokuk-county-ia,Keokuk County,87574,IA
kossuth-county-ia,Kossuth County,106825,IA
lee-county-ia,Lee County,93399,IA
linn-county-ia,Linn County,173675,IA
louisa-county-ia,Louisa County,111285,IA
lucas-county-ia,Lucas County,88517,IA
lyon-county-ia,Lyon County,145984,IA
madison-county-ia,Madison County,192885,IA
mahaska-county-ia,Mahaska County,124301,IA
marion-county-ia,Marion County,169041,IA
marshall-county-ia,Marshall County,114122,IA
mills-county-ia,Mills County,181393,IA
mitchell-county-ia,Mitchell County,126159,IA
monona-county-ia,Monona County,92914,IA
monroe-county-ia,Monroe County,111178,IA
montgomery-county-ia,Montgomery County,83116,IA
muscatine-county-ia,Muscatine County,143848,IA
o'brien-county-ia,O'Brien County,108781,IA
osceola-county-ia,Osceola County,91192,IA
page-county-ia,Page County,83150,IA
palo-alto-county-ia,Palo Alto County,105210,IA
plymouth-county-ia,Plymouth County,174900,IA
pocahontas-county-ia,Pocahontas County,71842,IA
polk-county-ia,Polk County,214879,IA
pottawattamie-county-ia,Pottawattamie County,157398,IA
poweshiek-county-ia,Poweshiek County,155576,IA
ringgold-county-ia,Ringgold County,96363,IA
sac-county-ia,Sac County,98832,IA
scott-county-ia,Scott County,174128,IA
shelby-county-ia,Shelby County,131597,IA
sioux-county-ia,Sioux County,191926,IA
story-county-ia,Story County,211834,IA
tama-county-ia,Tama County,115105,IA
taylor-county-ia,Taylor County,87073,IA
union-county-ia,Union County,92708,IA
van-buren-county-ia,Van Buren County,102441,IA
wapello-county-ia,Wapello County,80383,IA
warren-county-ia,Warren County,213175,IA
washington-county-ia,Washington County,158012,IA
wayne-county-ia,Wayne County,76455,IA
webster-county-ia,Webster County,92079,IA
winnebago-county-ia,Winnebago County,110704,IA
winneshiek-county-ia,Winneshiek County,190975,IA
woodbury-county-ia,Woodbury County,147801,IA
worth-county-ia,Worth County,113600,IA
